ID,BA,PPO,Nreads.tot
ASV_1102,193,5,198
ASV_1103,198,0,198
ASV_1104,198,0,198
ASV_1105,198,0,198
ASV_1106,190,7,197
ASV_1107,196,1,197
ASV_1108,196,1,197
ASV_1109,197,0,197
ASV_111,6160,3,6163
ASV_1110,54,142,196
ASV_1111,0,4,4
ASV_1112,165,30,195
ASV_1113,62,133,195
ASV_1114,158,37,195
ASV_1115,2,192,194
ASV_1116,80,113,193
ASV_1117,98,94,192
ASV_1118,142,50,192
ASV_1119,192,0,192
ASV_112,5103,980,6083
ASV_1120,90,101,191
ASV_1121,146,45,191
ASV_1122,153,38,191
ASV_1123,191,0,191
ASV_1124,191,0,191
ASV_1125,191,0,191
ASV_1126,143,47,190
ASV_1127,146,43,189
ASV_1128,178,11,189
ASV_1129,189,0,189
ASV_113,3412,2650,6062
ASV_1130,189,0,189
ASV_1131,189,0,189
ASV_1132,171,17,188
ASV_1133,0,188,188
ASV_1134,10,178,188
ASV_1135,0,188,188
ASV_1136,188,0,188
ASV_1137,188,0,188
ASV_1138,188,0,188
ASV_1139,186,1,187
ASV_114,426,5619,6045
ASV_1140,164,23,187
ASV_1141,187,0,187
ASV_1142,132,54,186
ASV_1143,186,0,186
ASV_1144,186,0,186
ASV_1145,105,80,185
ASV_1146,167,18,185
ASV_1147,185,0,185
ASV_1148,149,35,184
ASV_1149,108,76,184
ASV_115,4347,1658,6005
ASV_1150,1,182,183
ASV_1151,182,1,183
ASV_1152,1,182,183
ASV_1153,183,0,183
ASV_1154,183,0,183
ASV_1155,3,179,182
ASV_1156,142,40,182
ASV_1157,51,131,182
ASV_1158,182,0,182
ASV_1159,181,0,181
ASV_116,5763,212,5975
ASV_1160,181,0,181
ASV_1161,181,0,181
ASV_1162,142,38,180
ASV_1163,162,18,180
ASV_1164,180,0,180
ASV_1165,180,0,180
ASV_1166,70,109,179
ASV_1167,179,0,179
ASV_1168,172,6,178
ASV_1169,84,94,178
ASV_117,684,5287,5971
ASV_1170,177,1,178
ASV_1171,178,0,178
ASV_1172,178,0,178
ASV_1173,75,102,177
ASV_1174,177,0,177
ASV_1175,177,0,177
ASV_1176,68,108,176
ASV_1177,143,33,176
ASV_1178,0,176,176
ASV_1179,176,0,176
ASV_118,4529,1403,5932
ASV_1180,176,0,176
ASV_1181,159,16,175
ASV_1182,115,60,175
ASV_1183,175,0,175
ASV_1184,175,0,175
ASV_1185,5,169,174
ASV_1186,174,0,174
ASV_1187,174,0,174
ASV_1188,169,4,173
ASV_1189,140,33,173
ASV_119,224,5669,5893
ASV_1190,170,3,173
ASV_1191,173,0,173
ASV_1192,173,0,173
ASV_1193,6,166,172
ASV_1194,155,17,172
ASV_1195,74,98,172
ASV_1196,172,0,172
ASV_1197,172,0,172
ASV_1198,0,171,171
ASV_1199,170,0,170
ASV_12,62383,10243,72626
ASV_120,5727,129,5856
ASV_1200,152,17,169
ASV_1201,93,76,169
ASV_1202,0,169,169
ASV_1203,127,41,168
ASV_1204,123,45,168
ASV_1205,168,0,168
ASV_1206,87,80,167
ASV_1207,1,166,167
ASV_1208,0,167,167
ASV_1209,4,163,167
ASV_121,2236,3576,5812
ASV_1210,149,18,167
ASV_1211,161,5,166
ASV_1212,157,9,166
ASV_1213,62,103,165
ASV_1214,163,2,165
ASV_1215,165,0,165
ASV_1216,46,118,164
ASV_1217,2,162,164
ASV_1218,146,18,164
ASV_1219,0,164,164
ASV_122,3016,2791,5807
ASV_1220,160,4,164
ASV_1221,134,0,134
ASV_1222,164,0,164
ASV_1223,2,161,163
ASV_1224,104,59,163
ASV_1225,0,163,163
ASV_1226,15,148,163
ASV_1227,0,163,163
ASV_1228,155,8,163
ASV_1229,0,163,163
ASV_123,5440,367,5807
ASV_1230,0,163,163
ASV_1231,163,0,163
ASV_1232,160,2,162
ASV_1233,0,162,162
ASV_1234,142,20,162
ASV_1235,0,162,162
ASV_1236,1,161,162
ASV_1237,1,161,162
ASV_1238,162,0,162
ASV_1239,162,0,162
ASV_124,5747,0,5747
ASV_1240,87,74,161
ASV_1241,156,5,161
ASV_1242,0,160,160
ASV_1243,1,159,160
ASV_1244,160,0,160
ASV_1245,160,0,160
ASV_1246,0,159,159
ASV_1247,147,12,159
ASV_1248,136,23,159
ASV_1249,1,158,159
ASV_125,5152,525,5677
ASV_1250,159,0,159
ASV_1251,96,62,158
ASV_1252,71,87,158
ASV_1253,35,123,158
ASV_1254,156,2,158
ASV_1255,158,0,158
ASV_1256,158,0,158
ASV_1257,136,21,157
ASV_1258,108,49,157
